column_name,space_saved,percentage_saved
number,16944447.5,0.46580523875554036
hash,224000032.0,6.157792302582228
parent_hash,224000032.0,6.157792302582228
nonce,56000008.0,1.539448075645557
sha3_uncles,224000032.0,6.157792302582228
logs_bloom,1792000256.0,49.26233842065783
transactions_root,224000032.0,6.157792302582228
state_root,224000032.0,6.157792302582228
receipts_root,224000032.0,6.157792302582228
miner,140000020.0,3.8486201891138925
difficulty,45092015.5,1.2395858316387138
total_difficulty,65700399.0,1.8061131850141035
size,7078047.000000001,0.19457650494404946
extra_data,114808596.0,3.1561044094809447
gas_limit,17414528.5,0.47872783138887604
gas_used,11477951.0,0.31553048312607374
timestamp,27999999.5,0.7697239141171472
transaction_count,-848591.4999999998,-0.02332789937608895
base_fee_per_gas,0.0,0.0
